time,user_id,user_name,count,total,grade,fans_club
16:19:58,3600215249259069,兴化人在甘肃,9,5951,[等级20],[粉丝团 Lv7]
16:20:01,3600215249259069,兴化人在甘肃,10,5961,[等级20],[粉丝团 Lv7]
16:20:02,3600215249259069,兴化人在甘肃,2,5963,[等级20],[粉丝团 Lv7]
16:20:37,3600215249259069,兴化人在甘肃,6,5969,[等级20],[粉丝团 Lv7]
16:20:41,3600215249259069,兴化人在甘肃,9,5978,[等级20],[粉丝团 Lv7]
16:20:43,3600215249259069,兴化人在甘肃,11,5989,[等级20],[粉丝团 Lv7]
16:20:45,3600215249259069,兴化人在甘肃,2,5991,[等级20],[粉丝团 Lv7]
16:32:33,1635721556535776,三岁-,11,6002,[等级36],
16:32:35,1635721556535776,三岁-,6,6008,[等级36],
