time,current,total_pv,total_user,online_anchor
16:18:09,12,2544,2544,12
16:18:18,12,2544,2544,12
16:18:28,16,2548,2548,16
16:18:44,15,2547,2547,15
16:19:04,14,2549,2549,14
16:19:14,13,2552,2552,13
16:19:30,13,2552,2552,13
16:19:36,15,2552,2552,15
16:19:42,13,2552,2552,13
16:19:56,15,2553,2553,15
16:20:12,16,2554,2554,16
16:20:28,14,2556,2556,14
16:20:42,15,2558,2558,15
16:20:52,15,2559,2559,15
16:21:02,14,2559,2559,14
16:21:12,14,2561,2561,14
16:21:18,14,2563,2563,14
16:21:36,15,2565,2565,15
16:21:48,15,2567,2567,15
16:21:54,15,2567,2567,15
16:22:04,14,2567,2567,14
16:22:12,13,2567,2567,13
16:22:50,13,2571,2571,13
16:22:54,13,2571,2571,13
16:22:58,13,2571,2571,13
16:23:10,14,2572,2572,14
16:23:20,13,2571,2571,13
16:23:30,13,2573,2573,13
16:23:42,13,2574,2574,13
16:23:48,13,2574,2574,13
16:23:58,16,2576,2576,16
16:24:00,16,2576,2576,16
16:24:04,17,2576,2576,17
16:24:18,17,2576,2576,17
16:24:32,18,2580,2580,18
16:24:48,18,2585,2585,18
16:24:54,18,2585,2585,18
16:25:00,20,2585,2585,20
16:25:08,18,2587,2587,18
16:25:10,20,2585,2585,20
16:25:12,20,2587,2587,20
16:25:14,21,2587,2587,21
16:25:18,18,2587,2587,18
16:25:30,21,2587,2587,21
16:25:32,20,2588,2588,20
16:25:42,20,2588,2588,20
16:26:02,23,2588,2588,23
16:26:24,22,2590,2590,22
16:26:42,22,2590,2590,22
16:27:18,21,2594,2594,21
16:27:42,23,2597,2597,23
16:27:48,23,2598,2598,23
16:28:00,23,2597,2597,23
16:28:25,22,2599,2599,22
16:28:38,22,2599,2599,22
16:28:42,17,2600,2600,17
16:28:50,17,2600,2600,17
16:28:56,20,2601,2601,20
16:29:04,20,2601,2601,20
16:29:06,18,2603,2603,18
16:29:12,18,2603,2603,18
16:29:18,18,2603,2603,18
16:29:18,18,2603,2603,18
16:29:24,18,2603,2603,18
16:29:32,16,2604,2604,16
16:29:42,17,2604,2604,17
16:29:48,16,2605,2605,16
16:29:54,16,2605,2605,16
16:30:02,17,2606,2606,17
16:30:04,18,2605,2605,18
16:30:18,17,2606,2606,17
16:30:24,16,2607,2607,16
16:30:36,18,2609,2609,18
16:30:42,17,2609,2609,17
16:31:06,16,2611,2611,16
16:32:00,15,2614,2614,15
16:32:00,17,2621,2621,17
16:32:06,17,2619,2619,17
16:32:08,17,2621,2621,17
16:32:12,17,2621,2621,17
16:32:36,17,2622,2622,17
16:32:46,17,2623,2623,17
16:32:52,17,2623,2623,17
16:33:06,16,2623,2623,16
16:33:36,20,2626,2626,20
16:33:42,20,2625,2625,20
16:33:48,20,2626,2626,20
16:33:48,20,2625,2625,20
16:33:52,20,2626,2626,20
16:34:15,18,2631,2631,18
