time,user_id,user_name,content,grade,fans_club
15:39:26,73460414861,人在江城,串榜，贝尔8位,[等级16],
15:39:26,1822309644241648,轻轻一抓,小乐差人，宝箱,[等级16],
15:39:26,77389682511,0911,现在三倍,[等级27],[粉丝团 Lv16]
15:39:26,1143112794664440,言行必果,补补补补补补,[等级25],
15:39:26,97485626836,凌晨一点的星星,没有加成,[等级26],[粉丝团 Lv13]
15:39:26,2787980399092606,花开富贵，,卢岩到1300。,[等级12],[粉丝团 Lv1]
15:39:26,2757185783992915,静.,加油,[等级23],
15:39:26,2814401483641036,胡哥,小乐差榜,[等级23],
15:39:26,1038359803999339,HavenBloom,这是巅峰赛,[等级28],[粉丝团 Lv15]
15:39:28,80688147607194,实在人,小乐差十八个榜,[等级28],
15:39:28,1143112794664440,言行必果,补补补补补补,[等级25],
15:39:28,1555180815913547,吃饱就睡,补墨镜,[等级19],[粉丝团 Lv12]
15:39:28,99044924228,忘忧草*,补票,[等级22],[粉丝团 Lv15]
15:39:30,50307189639,摘星🍼,跑车差8,[等级14],[粉丝团 Lv10]
15:39:32,1082363495327971,Y,8,[等级14],[粉丝团 Lv10]
15:39:34,2412742420992396,儋泊。,干了,[等级32],[粉丝团 Lv11]
15:39:35,1082363495327971,Y,7,[等级14],[粉丝团 Lv10]
15:39:36,75600969528,LLL+L,加油加油加油,[等级32],[粉丝团 Lv12]
15:39:37,1555180815913547,吃饱就睡,补墨镜,[等级19],[粉丝团 Lv12]
15:39:40,2757185783992915,静.,补票[比心],[等级23],
15:39:43,52389725028,海内存知己,快快快快,[等级25],[粉丝团 Lv1]
15:39:43,1082363495327971,Y,6,[等级14],[粉丝团 Lv10]
15:39:43,100000276878,璐儿,跑车占榜差六,[等级27],[粉丝团 Lv14]
15:39:44,1555180815913547,吃饱就睡,补墨镜,[等级19],[粉丝团 Lv12]
15:39:45,50307189639,摘星🍼,跑车差6,[等级14],[粉丝团 Lv10]
15:39:46,82474940380,Gᰔᩚao,差6,[等级24],[粉丝团 Lv15]
15:39:46,3307808384881070,对方正在偷人,速度,[等级21],[粉丝团 Lv13]
15:39:47,1950963940729563,哈基米🍬,干了,[等级15],
15:39:47,1082363495327971,Y,6,[等级14],[粉丝团 Lv10]
15:39:49,593377992390605,斗地主人参果,快快快,[等级11],
15:39:50,2412742420992396,儋泊。,跑车,[等级32],[粉丝团 Lv11]
15:39:51,1082363495327971,Y,差6,[等级14],[粉丝团 Lv10]
15:39:51,1555180815913547,吃饱就睡,补墨镜,[等级19],[粉丝团 Lv12]
15:39:53,1486187107717240,吳老四,差六,[等级22],[粉丝团 Lv5]
15:39:53,902061667914973,孤狼,快快快快快快,[等级21],
15:39:54,1082363495327971,Y,5,[等级14],[粉丝团 Lv10]
15:39:54,71087164183,MISS婷～🌻,6个跑车,[等级37],[粉丝团 Lv11]
15:39:55,51275456170,🌲H~🍒🍒,差5,[等级21],[粉丝团 Lv14]
15:39:55,83655469080,Luoing,尾数补补[比心],[等级24],[粉丝团 Lv13]
15:39:56,1648912035219550,梦࿐远方,差6,[等级25],[粉丝团 Lv15]
15:39:56,50307189639,摘星🍼,跑车差5,[等级14],[粉丝团 Lv10]
15:39:57,100000276878,璐儿,跑车差5,[等级27],[粉丝团 Lv14]
15:39:57,2299807892244269,浅浅,跑车差六,[等级24],[粉丝团 Lv13]
15:39:58,1555180815913547,吃饱就睡,补墨镜,[等级19],[粉丝团 Lv12]
15:39:59,1082363495327971,Y,4,[等级14],[粉丝团 Lv10]
15:39:59,593377992390605,斗地主人参果,先站齐,[等级11],
15:39:59,71087164183,MISS婷～🌻,5个,[等级37],[粉丝团 Lv11]
15:40:01,51275456170,🌲H~🍒🍒,差4,[等级21],[粉丝团 Lv14]
15:40:02,73460414861,人在江城,贝尔    6位,[等级16],
15:40:02,68027223575,💥游不动灬🔥,补几个小星星,[等级20],[粉丝团 Lv8]
15:40:03,1555180815913547,吃饱就睡,补墨镜,[等级19],[粉丝团 Lv12]
15:40:04,3307808384881070,对方正在偷人,差4,[等级21],[粉丝团 Lv13]
15:40:05,83655469080,Luoing,尾数补补[比心],[等级24],[粉丝团 Lv13]
15:40:06,2299807892244269,浅浅,跑车差4,[等级24],[粉丝团 Lv13]
15:40:07,82474940380,Gᰔᩚao,@瘾 ☾ 谢谢,[等级24],[粉丝团 Lv15]
15:40:08,1555180815913547,吃饱就睡,补,[等级19],[粉丝团 Lv12]
