time,current,total_pv,total_user,online_anchor
15:39:26,4347,14.4万,10万+,4347
15:39:26,4334,14.4万,10万+,4334
15:39:26,4323,14.4万,10万+,4323
15:39:27,4334,14.4万,10万+,4334
15:39:28,4334,14.4万,10万+,4334
15:39:28,4334,14.4万,10万+,4334
15:39:28,4375,14.4万,10万+,4375
15:39:28,4334,14.4万,10万+,4334
15:39:30,4346,14.4万,10万+,4346
15:39:32,4345,14.4万,10万+,4345
15:39:34,4375,14.4万,10万+,4375
15:39:36,4399,14.4万,10万+,4399
15:39:38,4394,14.4万,10万+,4394
15:39:40,4375,14.4万,10万+,4375
15:39:42,4399,14.4万,10万+,4399
15:39:44,4394,14.4万,10万+,4394
15:39:46,4399,14.4万,10万+,4399
15:39:48,4402,14.4万,10万+,4402
15:39:50,4402,14.4万,10万+,4402
15:39:52,4394,14.4万,10万+,4394
15:39:54,4417,14.4万,10万+,4417
15:39:56,4417,14.4万,10万+,4417
15:39:58,4402,14.4万,10万+,4402
15:40:00,4402,14.4万,10万+,4402
15:40:02,4425,14.4万,10万+,4425
15:40:04,4394,14.4万,10万+,4394
15:40:06,4426,14.4万,10万+,4426
15:40:08,4428,14.4万,10万+,4428
15:40:10,4402,14.4万,10万+,4402
15:40:14,4417,14.4万,10万+,4417
15:40:16,4416,14.4万,10万+,4416
15:40:18,4416,14.4万,10万+,4416
15:40:20,4416,14.4万,10万+,4416
15:40:22,4428,14.4万,10万+,4428
15:40:24,4425,14.4万,10万+,4425
15:40:26,4385,14.4万,10万+,4385
15:40:28,4416,14.4万,10万+,4416
15:40:30,4399,14.4万,10万+,4399
15:40:32,4416,14.4万,10万+,4416
15:40:34,4369,14.4万,10万+,4369
15:40:41,4369,14.4万,10万+,4369
15:40:44,4425,14.4万,10万+,4425
15:40:46,4366,14.4万,10万+,4366
15:40:56,4382,14.4万,10万+,4382
15:40:58,4374,14.4万,10万+,4374
15:41:06,4374,14.4万,10万+,4374
